episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
85,0.493,-1797.2,15.841666666666667,54.46264367816092,101.64367816091954,312,82,306.7610303720987,2000,54.6551724137931
86,0.4889,-2483.661538461539,24.350833333333334,77.52925531914893,129.64893617021278,330,82,542.1023026092511,2007,78.265625
87,0.4848,-2000.384615384615,20.423333333333332,72.3076923076923,121.93786982248521,297,80,351.50408170949464,2019,73.56811594202898
88,0.4808,-2196.476923076923,26.305,89.26345609065156,143.78470254957506,316,84,463.6426941741751,2023,108.57142857142857
89,0.4768,-2052.753846153846,20.09,64.64516129032258,113.52150537634408,332,83,409.9918047699176,2030,66.83673469387755
90,0.4729,-1404.8461538461538,14.710833333333333,53.646341463414636,97.02439024390245,291,84,201.89835255825614,2041,58.42559523809524
91,0.469,-1716.2307692307693,15.221666666666666,53.849112426035504,98.82544378698225,303,80,267.8236565531152,2053,53.99122807017544
92,0.4651,-2275.507692307692,22.768333333333334,75.9108635097493,127.64066852367688,320,83,494.35543330482585,2059,75.85245901639344
93,0.4612,-2037.8307692307692,18.674166666666668,58.031168831168834,106.84935064935065,347,82,378.5360571034176,2062,59.666666666666664
94,0.4574,-1936.2,16.908333333333335,53.912,102.25333333333333,344,80,340.8067240256202,2072,54.448
95,0.4536,-2183.661538461539,20.5625,65.99731903485255,114.21983914209115,334,81,429.7376384550625,2074,70.87467362924282
96,0.4498,-1645.5692307692307,14.758333333333333,49.298882681564244,93.82960893854748,321,82,265.5851627985437,2080,49.53351955307262
97,0.4461,-1852.5076923076922,18.9475,61.782016348773844,108.32970027247957,319,84,381.58194458139644,2086,62.56951871657754
98,0.4424,-1831.9692307692308,16.2625,56.06340057636888,101.26801152737752,301,83,317.46232664094606,2088,56.4121037463977
99,0.4387,-2670.2923076923075,25.534166666666668,78.37692307692308,127.81794871794872,328,78,597.9668131194684,2097,79.21319796954315
100,0.4351,-2320.5538461538463,23.723333333333333,79.57703081232494,129.56302521008402,303,77,455.4779435480115,2106,84.16486486486487
101,0.4315,-2292.5384615384614,25.02,79.08179419525067,133.79419525065964,327,84,541.1071887290284,2111,90.58575197889182
102,0.4279,-2617.4923076923073,26.315,88.01396648044692,140.55027932960894,306,80,594.0804145209252,2116,91.62952646239555
103,0.4244,-2094.3846153846157,18.320833333333333,59.24864864864865,105.96756756756757,319,76,345.22304442611807,2125,59.818666666666665
104,0.4209,-2105.4307692307693,22.113333333333333,68.04627249357327,114.60668380462725,335,82,449.77009090410763,2126,68.61845386533666
105,0.4174,-2003.6615384615386,17.991666666666667,59.466850828729285,105.03314917127072,322,79,375.94151807103754,2135,60.84636118598383
106,0.4139,-1739.8615384615387,16.78,57.887608069164266,103.37752161383285,311,81,287.4107814618597,2140,60.4344262295082
107,0.4105,-2446.9692307692308,23.165,73.57029177718833,125.79840848806366,337,81,523.6643604861674,2145,75.22546419098143
108,0.4071,-2009.5384615384614,18.055,58.07258064516129,104.09677419354838,325,79,361.3524297770302,2151,58.424731182795696
109,0.4037,-2449.846153846154,24.5625,82.13687150837988,137.47486033519553,323,84,581.4393666098006,2159,85.09408602150538
110,0.4004,-2024.5846153846155,21.6925,73.16056338028169,122.35774647887324,311,80,360.080987959013,2164,85.30027548209367
111,0.3971,-2907.430769230769,34.145833333333336,108.57559681697613,168.6259946949602,322,80,718.6905969684433,2169,120.58181818181818
112,0.3938,-1620.446153846154,16.066666666666666,52.35422343324251,98.33787465940054,333,85,252.2683186581313,2174,52.944
113,0.3905,-2260.046153846154,25.533333333333335,81.77272727272727,126.9572192513369,298,80,483.7591784992444,2177,96.9238578680203
114,0.3873,-2316.323076923077,25.82,86.63025210084034,140.13165266106444,319,80,482.268921028363,2179,94.60597826086956
115,0.3841,-1818.1846153846152,17.194166666666668,57.325905292479106,103.14206128133705,317,82,310.87640253783326,2183,58.41952506596306
116,0.3809,-1886.4,17.273333333333333,62.07507507507508,105.8108108108108,300,77,312.43477490653686,2189,61.54913294797688
117,0.3777,-1826.7230769230769,16.164166666666667,52.57065217391305,97.21739130434783,329,80,306.0056993206555,2196,52.77173913043478
118,0.3746,-2052.4153846153845,22.859166666666667,77.54674220963173,128.0198300283286,298,84,421.7686502330101,2199,77.98319327731092
119,0.3715,-2025.4307692307693,19.11916666666667,63.56666666666667,109.13888888888889,326,82,376.7797782029382,2207,63.43801652892562
120,0.3684,-2539.9384615384615,26.2075,84.61185983827494,137.02695417789758,323,83,639.4325922622832,2211,91.152
121,0.3654,-2086.046153846154,20.901666666666667,68.16893732970027,117.30517711171662,322,80,389.52814800800354,2216,71.89973614775725
122,0.3623,-1709.9076923076923,15.709166666666667,52.65266106442577,97.02521008403362,308,82,285.46606817168583,2222,53.141689373297005
123,0.3593,-2018.046153846154,19.06,63.19667590027701,111.57340720221606,323,81,371.01984004032107,2224,64.64850136239782
124,0.3563,-2439.169230769231,27.1175,86.41489361702128,137.1595744680851,321,80,525.9987820451215,2225,98.13541666666667
125,0.3534,-2543.138461538462,25.484166666666667,80.73015873015873,134.44973544973544,331,79,593.4393886647383,2229,81.7730870712401
126,0.3505,-2418.7384615384613,22.421666666666667,74.37119113573407,125.59002770083103,335,78,490.02912656479987,2234,75.66204986149584
127,0.3476,-1851.1076923076923,17.613333333333333,62.174041297935105,108.45722713864306,291,81,331.4355300927624,2241,64.92937853107344
128,0.3447,-2270.923076923077,25.493333333333332,81.42666666666666,136.87466666666666,320,82,502.748731717923,2243,92.63846153846154
129,0.3418,-2255.8153846153846,25.644166666666667,81.04221635883906,132.52242744063324,325,84,495.71262561021115,2246,85.91282051282052
130,0.339,-1964.0461538461539,18.86916666666667,61.39945652173913,110.45923913043478,328,83,376.17406892275216,2247,60.47631578947368
131,0.3362,-2148.5384615384614,20.654166666666665,69.63661971830986,117.82816901408451,296,80,406.31059646865543,2252,72.27595628415301
